"KEY","en","ro","po","ru","en-us"
"Episode_of_the_day","Episode of the day","Episodul zilei","Odcinek dnia","Серия дня","Episode of the day"
"Interested","Interested","Mă interesează","Jestem zainteresowana(-ny)","Интересно","Interested"
"Not_Interested","Not interested","Nu mă interesează","Nie jestem zainteresowana(-ny)","Неинтересно","Not interested"
"Cancel","Cancel","Anulează","Anuluj","Отменить","Cancel"
"Done","Done","Gata","Gotowe","Готово","Done"
"Yes","Yes","Da","Tak","Да","Yes"
"No","No","Nu","Nie","Нет","No"
"Submit","Save","Salvează","Zapisz","Сохранить","Save"
"SettingsAboutTribes","About Parents","Despre Parents","Informacje o Parents","О Parents","About Parents"
"SettingsContactUs","Contact us","Contactează-ne","Skontaktuj się z nami","Связаться с нами","Contact us"
"MyProfileMenuMyChildren","My Children","Copiii mei","Moje dzieci","Мои дети","My Children"
"MyProfileMenuMyFamily","My Family","Familia mea","Moja rodzina","Моя семья","My Family"
"MyProfileMenuSettings","Settings","Setări","Ustawienia","Настройки","Settings"
"MyProfileMenuNotifications","Notifications","Notificări","Powiadomienia","Уведомления ","Notifications"
"MyProfileMenuTellToFriends","Invite family & friends","Invită-ți familia și prietenii","Zaproś rodziców i przyjaciół","Пригласи свою семью и друзей","Invite family & friends"
"MyProfileMenuTermsAndConditions","Terms & Conditions","Termeni și Condiții","Regulamin","Условия и положения","Terms & Conditions"
"MyProfileMenuFAQ","FAQ","FAQ","FAQ","FAQ","FAQ"
"MyProfileMenuLogout","Logout","Deconectare","Wyloguj","Выйти","Logout"
"ScreenTitleSettings","Settings","Setări","Ustawienia","Настройки","Settings"
"AlertDialogWarning","Warning","Atenție","Uwaga","Предупреждение","Warning"
"AlertDialogLogoutConfirmation","Are you sure you want to log out?","Sigur vrei să te deconectezi?","Czy na pewno chcesz się wylogować?","Ты действительно хочешь выйти?","Are you sure you want to log out?"
"ScreenTitleTerms","Terms & Conditions","Termeni și Condiții","Regulamin","Положения и условия","Terms & Conditions"
"ScreenFAQSettings","FAQ","FAQ","FAQ","FAQ","FAQ"
"ScreenEditProfile","Edit profile","Editează profil","Edytuj profil","Редактировать профиль","Edit profile"
"EditProfilePersonalInfo","About you","Despre tine","Informacje o Tobie","О тебе","About you"
"EditProfileContactInfo","Contact","Contact","Kontakt","Контакт","Contact"
"EditProfileGender","Gender","Sex","Płeć","Пол","Gender"
"EditProfileChangePassword","Change password","Schimbă parola","Zmień hasło","Изменить пароль","Change password"
"restore_password","Reset password","Resetează parola","Resetuj hasło","Сбросить пароль","Reset password"
"ForgotPassword","Forgot password?","Ai uitat parola?","Nie pamiętasz hasła?","Забыл пароль?","Forgot password?"
"by_signing_up","By tapping Login or Create account, I agree to the","Apăsând Autentificare sau Creează cont, sunt de acord cu","Klikając ""Zaloguj się"" lub ""Zarejestruj się"", zgadzam się z treścią dokumentów:","Нажимая Авторизация или Создать Аккаунт, я согласен
","By clicking Login or Create account, I agree to the"
"TermsAndConditions","Terms & Conditions","Termeni și Condiții","Regulamin","Положения и Условия ","Terms & Conditions"
"terms_of_service","Terms & Conditions","Termenii și Condițiile","Regulamin","Положения и Условия ","Terms & Conditions"
"privacy_policy","Privacy Policy","Politica de Confidențialitate","Polityka prywatności","Политика конфиденциальности","Privacy Policy"
"Password","Password","Parolă","Hasło","Пароль","Password"
"RepeatPassword","Repeat password","Repetă parola","Powtórz hasło","Повторить пароль","Repeat password"
"reply","Reply","Răspunde","Odpowiedz","Ответить","Reply"
"edit","Edit","Editează","Edytuj","Редактировать","Edit"
